run,generations,best_fitness,evaluations,elapsed_time,neurons,inputs,connections,distinct_fitnesses,distinct_genomes,avg_fitness
29,2,0.9999999999999432,600,17.10693097114563,7,2,14,177,500,0.021042951000623384
30,22,0.999999999999456,1589,111.27257490158081,6,2,13,422,489,0.11089754116698591
31,9,0.9999999999999432,949,46.552337884902954,11,1,35,322,499,0.04997012132080683
32,0,0.9999999999999432,500,7.278202056884766,11,1,38,117,500,0.018198305606243727
33,41,0.9999999999999432,2533,197.3066532611847,18,2,50,465,485,0.29906967906448767
34,0,0.9999999999999432,500,6.757988929748535,6,2,10,109,500,0.016127546724064388
35,1,0.9999999999999432,550,11.545691967010498,6,2,11,133,500,0.014950380523519022
36,87,0.9999999999999432,4831,429.6473081111908,28,0,42,273,492,0.940609300100142
37,42,0.9999999999999374,2587,208.5972080230713,9,1,29,467,487,0.35169044332535954
38,13,0.9999999999999432,1147,66.63021302223206,7,2,13,312,497,0.067326513344777
39,1,0.9999999999978701,550,11.677807092666626,8,2,13,146,500,0.024707266204068948
40,37,0.9999999999999432,2338,174.4964497089386,6,1,11,454,489,0.26856990352856736
41,2,0.9999999999999432,600,16.50230622291565,6,2,14,159,500,0.02694430882373334
42,0,0.9999999999999432,500,6.493247985839844,8,2,13,114,500,0.015005794484509971
43,23,0.9999999999999432,1642,117.23827409744263,7,2,10,411,493,0.1533647129191028
44,10,0.9999999999999432,995,52.36989688873291,10,0,23,325,495,0.08609907759806093
45,34,0.9999999443954084,2183,169.18734121322632,6,2,10,456,484,0.27223815753625696
46,50,0.9890735255507269,3025,283.677353143692,90,0,127,183,477,0.9371715274084245
47,27,0.9999999999999059,1841,133.80522179603577,6,2,15,461,492,0.17218989343468152
48,59,0.9999999385474228,3424,319.43811988830566,6,1,9,231,478,0.8808926390479473
49,187,0.9999999999999432,9704,993.7235200405121,24,0,42,103,476,0.9439263044371119
50,1,0.9999999999999432,550,11.591578245162964,6,2,9,134,500,0.02700061422099924
51,0,0.9999999999999432,500,7.824541807174683,6,2,15,129,500,0.02071481015079738
52,5,0.9999999999999432,748,28.72485089302063,7,2,11,219,498,0.0326690454176704
53,32,0.9999999999999432,2088,159.10332798957825,6,2,10,467,488,0.2643000705415287
54,0,0.999999999999911,500,7.380499362945557,7,2,13,116,500,0.01444565378993122
55,0,0.9999999999999432,500,7.583782196044922,7,1,17,118,500,0.015980103647369
56,22,0.9999999999999432,1596,111.23480796813965,7,2,10,386,498,0.12227596205629741
57,42,0.999999958184554,2583,208.64037489891052,7,2,17,430,484,0.25067644887654167
58,11,0.9999999999999432,1042,57.72838997840881,7,2,13,316,492,0.06587831034450985
59,5,0.9999999999983331,749,29.40294313430786,7,2,18,248,499,0.04115305826055294
60,24,0.9999999999995153,1697,116.90417003631592,9,2,18,477,497,0.12795512778538728
61,14,0.9999999999999432,1200,69.79271721839905,6,2,16,252,500,0.07495252260477007
62,13,0.9999999999993989,1147,67.47350001335144,6,1,11,314,497,0.06531417212153422
63,23,0.9999999999999432,1641,120.47156596183777,8,1,18,423,492,0.20965172346260355
