run,generations,best_fitness,evaluations,elapsed_time,neurons,inputs,connections,distinct_fitnesses,distinct_genomes,avg_fitness
28,0,0.9999999999999432,500,6.452566146850586,100,0,553,59,500,0.006262732909493989
29,0,0.9999999999386853,500,6.467694997787476,100,0,306,57,500,0.010450048407124995
30,0,0.9999999999999432,500,7.166278839111328,100,0,263,59,500,0.018768159006146243
31,0,0.9999999999999432,500,6.387440204620361,100,0,271,56,500,0.01317124403681564
32,0,0.9999999999999432,500,7.0124900341033936,100,0,463,52,500,0.018670808200775366
33,0,0.9999999999999432,500,6.256042003631592,100,0,389,42,500,0.010199628678996974
34,0,0.9999999999999432,500,6.497553110122681,6,2,10,51,500,0.016646647193010105
35,0,0.9999999999997313,500,7.127588987350464,100,0,247,61,500,0.010434006226053017
36,0,0.9999999999999432,500,6.8078389167785645,100,0,305,39,500,0.010015561041032132
37,0,0.9999999999998583,500,6.456647157669067,100,0,403,55,500,0.014922437826459927
38,0,0.9999999999999432,500,6.967659950256348,100,0,260,64,500,0.01708598436495486
39,0,0.9999999999999432,500,7.419770002365112,100,0,283,60,500,0.021456687301024978
40,0,0.9999999999999432,500,7.21126914024353,100,0,505,50,500,0.02044090393184993
41,0,0.9999999999999432,500,7.1326069831848145,100,0,370,51,500,0.013189012808516871
42,0,0.9999999999999432,500,6.844222784042358,8,2,13,49,500,0.015460335596201785
43,0,0.9999999999999432,500,7.218857049942017,100,0,244,52,500,0.014757444172262638
44,0,0.9999999999999432,500,7.231710910797119,100,0,355,55,500,0.02011495420755887
45,0,0.9999999999999432,500,6.440624952316284,100,0,265,55,500,0.007435452651073028
46,0,0.999999999999873,500,6.995104789733887,100,0,243,64,500,0.009230722639492537
47,0,0.9999999999999432,500,6.607326984405518,100,1,515,49,500,0.01290436937036323
48,0,0.9999999999999432,500,6.560922861099243,100,0,431,43,500,0.013631691084423348
49,0,0.9999999999999432,500,7.231685161590576,100,0,384,51,500,0.01633792470238668
50,0,0.9999999999999432,500,7.066045045852661,34,2,75,50,500,0.01819964953685285
51,0,0.9999999999999432,500,7.314515113830566,6,2,15,58,500,0.021286701114255374
52,0,0.9999999999999432,500,7.1935319900512695,100,0,379,52,500,0.012994880965481152
53,0,0.9999999999999432,500,6.9487926959991455,100,0,192,57,500,0.01664848580544906
54,0,0.9999999999999432,500,7.341261148452759,100,0,290,46,500,0.014820387782559766
55,0,0.9999999999999432,500,6.966529130935669,7,1,17,53,500,0.016438862735101083
56,0,0.9999999999999432,500,7.53390097618103,100,0,344,52,500,0.00905071045783927
57,0,0.9999999982436008,500,6.240233898162842,100,0,264,49,500,0.007371724210977982
58,4,0.9999999999999432,696,23.159548044204712,70,0,301,92,496,0.022729867998651423
59,0,0.9999999999998672,500,6.4265830516815186,100,0,241,55,500,0.017991200474105642
60,0,0.9999999999999432,500,7.130995035171509,100,0,207,57,500,0.015050137395716708
61,0,0.9999999999999432,500,6.61777400970459,100,0,290,45,500,0.018162937991244302
62,0,0.9999999999999356,500,6.8380937576293945,100,0,411,57,500,0.012215401606212222
63,0,0.9999999999947615,500,6.975010871887207,100,0,255,45,500,0.009548357005214548
64,0,0.9999999999999432,500,7.249751091003418,100,0,348,53,500,0.01632104735762646
65,5,0.9999999999999432,746,27.14581608772278,100,0,222,93,496,0.014160675467626668
66,0,0.9999999999999432,500,6.750907897949219,100,0,296,64,500,0.02348836798577937
67,0,0.9999999999999432,500,7.582884788513184,100,0,257,50,500,0.019929242319986825
68,0,0.9999999999999432,500,6.785804033279419,100,0,340,46,500,0.012024762530931198
69,0,0.9999999999999432,500,6.676100730895996,100,0,407,49,500,0.012070138599381575
70,0,0.9999999999998805,500,7.244399070739746,100,0,257,51,500,0.015186891105008182
71,0,0.9999999999999432,500,7.5602967739105225,100,0,257,55,500,0.01947271876657051
72,0,0.9999999999999432,500,7.1249001026153564,46,1,146,57,500,0.022461007907279954
73,0,0.9999999999999432,500,7.201222896575928,7,2,12,57,500,0.012702267023838903
74,0,0.9999999999999432,500,7.128192901611328,100,0,447,59,500,0.020807537212134634
